country,Year,obs_value,indicator,sex,GDP per capita (constant 2015 US$),GNI (current US$),"Population, total","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Birth rate, crude (per 1,000 people)","Inflation, consumer prices (annual %)",Military expenditure (% of GDP)
Afghanistan,2015,30.7,Egg and/or flesh foods consumption (6-23months),Female,565.5697304,19249499438.75,33831764.0,0.44,62.659,38.803,-0.661709165,0.994575823
Afghanistan,2022,23.7,Egg and/or flesh foods consumption (6-23months),Female,377.6656271,14540297385.72,40578842.0,,62.879,35.143,,
Afghanistan,2015,29.9,Egg and/or flesh foods consumption (6-23months),Male,565.5697304,19249499438.75,33831764.0,0.44,62.659,38.803,-0.661709165,0.994575823
Afghanistan,2022,24.7,Egg and/or flesh foods consumption (6-23months),Male,377.6656271,14540297385.72,40578842.0,,62.879,35.143,,
Afghanistan,2015,30.3,Egg and/or flesh foods consumption (6-23months),Total,565.5697304,19249499438.75,33831764.0,0.44,62.659,38.803,-0.661709165,0.994575823
Afghanistan,2022,24.2,Egg and/or flesh foods consumption (6-23months),Total,377.6656271,14540297385.72,40578842.0,,62.879,35.143,,
Albania,2009,73.6,Egg and/or flesh foods consumption (6-23months),Female,3432.170872,11852736925.09,2927519.0,3.0,77.781,11.841,2.266922095,1.51721714
Albania,2017,68.4,Egg and/or flesh foods consumption (6-23months),Female,4249.820049,13051517643.62,2873457.0,2.84,79.047,10.87,1.986661332,1.109151006
Albania,2009,79.0,Egg and/or flesh foods consumption (6-23months),Male,3432.170872,11852736925.09,2927519.0,3.0,77.781,11.841,2.266922095,1.51721714
Albania,2017,68.5,Egg and/or flesh foods consumption (6-23months),Male,4249.820049,13051517643.62,2873457.0,2.84,79.047,10.87,1.986661332,1.109151006
Albania,2009,76.6,Egg and/or flesh foods consumption (6-23months),Total,3432.170872,11852736925.09,2927519.0,3.0,77.781,11.841,2.266922095,1.51721714
Albania,2017,68.5,Egg and/or flesh foods consumption (6-23months),Total,4249.820049,13051517643.62,2873457.0,2.84,79.047,10.87,1.986661332,1.109151006
Algeria,2019,53.6,Egg and/or flesh foods consumption (6-23months),Female,4672.664087,189548593096.82,43294546.0,,76.474,23.298,1.951768211,5.999941464
Algeria,2019,52.2,Egg and/or flesh foods consumption (6-23months),Male,4672.664087,189548593096.82,43294546.0,,76.474,23.298,1.951768211,5.999941464
Algeria,2019,52.9,Egg and/or flesh foods consumption (6-23months),Total,4672.664087,189548593096.82,43294546.0,,76.474,23.298,1.951768211,5.999941464
Angola,2015,63.3,Egg and/or flesh foods consumption (6-23months),Female,3213.902611,85895384573.19,28157798.0,,60.655,42.02,9.355972155,3.105426293
Angola,2015,58.7,Egg and/or flesh foods consumption (6-23months),Male,3213.902611,85895384573.19,28157798.0,,60.655,42.02,9.355972155,3.105426293
Angola,2015,61.0,Egg and/or flesh foods consumption (6-23months),Total,3213.902611,85895384573.19,28157798.0,,60.655,42.02,9.355972155,3.105426293
Armenia,2005,70.8,Egg and/or flesh foods consumption (6-23months),Female,2240.092732,5106475890.47,3146400.0,4.71,71.792,13.033,0.638928002,2.871931363
Armenia,2010,69.2,Egg and/or flesh foods consumption (6-23months),Female,2796.081434,9718566996.01,3044800.0,4.13,73.16,13.898,8.176361385,4.265646056
Armenia,2016,52.9,Egg and/or flesh foods consumption (6-23months),Female,3533.885036,10791195836.79,2992300.0,4.36,74.664,14.504,-1.403607559,4.090349217
Armenia,2005,64.5,Egg and/or flesh foods consumption (6-23months),Male,2240.092732,5106475890.47,3146400.0,4.71,71.792,13.033,0.638928002,2.871931363
Armenia,2010,66.4,Egg and/or flesh foods consumption (6-23months),Male,2796.081434,9718566996.01,3044800.0,4.13,73.16,13.898,8.176361385,4.265646056
Armenia,2016,51.7,Egg and/or flesh foods consumption (6-23months),Male,3533.885036,10791195836.79,2992300.0,4.36,74.664,14.504,-1.403607559,4.090349217
Armenia,2005,67.2,Egg and/or flesh foods consumption (6-23months),Total,2240.092732,5106475890.47,3146400.0,4.71,71.792,13.033,0.638928002,2.871931363
Armenia,2010,67.8,Egg and/or flesh foods consumption (6-23months),Total,2796.081434,9718566996.01,3044800.0,4.13,73.16,13.898,8.176361385,4.265646056
Armenia,2016,52.3,Egg and/or flesh foods consumption (6-23months),Total,3533.885036,10791195836.79,2992300.0,4.36,74.664,14.504,-1.403607559,4.090349217
Azerbaijan,2006,67.9,Egg and/or flesh foods consumption (6-23months),Female,3501.164825,18470079299.79,8484550.0,6.96,68.165,17.6,8.328924829,3.417759333
Azerbaijan,2006,63.7,Egg and/or flesh foods consumption (6-23months),Male,3501.164825,18470079299.79,8484550.0,6.96,68.165,17.6,8.328924829,3.417759333
Azerbaijan,2006,65.6,Egg and/or flesh foods consumption (6-23months),Total,3501.164825,18470079299.79,8484550.0,6.96,68.165,17.6,8.328924829,3.417759333
Bangladesh,2011,52.9,Egg and/or flesh foods consumption (6-23months),Female,995.5799472,138790366566.14,153591076.0,0.55,68.809,20.569,11.39516516,1.217668949
Bangladesh,2014,56.6,Egg and/or flesh foods consumption (6-23months),Female,1159.407535,184408668144.28,157964929.0,0.6,69.986,19.537,6.991638892,1.136443272
Bangladesh,2018,70.5,Egg and/or flesh foods consumption (6-23months),Female,1462.250503,334213984192.58,163523103.0,0.88,72.567,18.462,5.543621395,1.153957491
Bangladesh,2019,58.9,Egg and/or flesh foods consumption (6-23months),Female,1564.208024,365618637342.16,164913055.0,0.88,72.806,18.35,5.591996399,1.244100823
Bangladesh,2011,54.3,Egg and/or flesh foods consumption (6-23months),Male,995.5799472,138790366566.14,153591076.0,0.55,68.809,20.569,11.39516516,1.217668949
Bangladesh,2014,54.2,Egg and/or flesh foods consumption (6-23months),Male,1159.407535,184408668144.28,157964929.0,0.6,69.986,19.537,6.991638892,1.136443272
Bangladesh,2018,68.6,Egg and/or flesh foods consumption (6-23months),Male,1462.250503,334213984192.58,163523103.0,0.88,72.567,18.462,5.543621395,1.153957491
Bangladesh,2019,61.4,Egg and/or flesh foods consumption (6-23months),Male,1564.208024,365618637342.16,164913055.0,0.88,72.806,18.35,5.591996399,1.244100823
Bangladesh,2011,53.6,Egg and/or flesh foods consumption (6-23months),Total,995.5799472,138790366566.14,153591076.0,0.55,68.809,20.569,11.39516516,1.217668949
Bangladesh,2014,55.3,Egg and/or flesh foods consumption (6-23months),Total,1159.407535,184408668144.28,157964929.0,0.6,69.986,19.537,6.991638892,1.136443272
Bangladesh,2018,69.5,Egg and/or flesh foods consumption (6-23months),Total,1462.250503,334213984192.58,163523103.0,0.88,72.567,18.462,5.543621395,1.153957491
Bangladesh,2019,60.2,Egg and/or flesh foods consumption (6-23months),Total,1564.208024,365618637342.16,164913055.0,0.88,72.806,18.35,5.591996399,1.244100823
Belarus,2019,94.0,Egg and/or flesh foods consumption (6-23months),Female,6267.748334,62499831005.42,9419758.0,9.69,74.22682927,9.3,5.59815595,1.396422976
Belarus,2019,91.5,Egg and/or flesh foods consumption (6-23months),Male,6267.748334,62499831005.42,9419758.0,9.69,74.22682927,9.3,5.59815595,1.396422976
Belarus,2019,92.7,Egg and/or flesh foods consumption (6-23months),Total,6267.748334,62499831005.42,9419758.0,9.69,74.22682927,9.3,5.59815595,1.396422976
